drug_name,max_phase,molecule_type,therapeutic_flag,target_chembl_id,target_name,target_gene,mechanism
LETROZOLE,4,Small molecule,1,,Aromatase,CYP19A1,INHIBITOR
LEVALBUTEROL HYDROCHLORIDE,4,Small molecule,1,,Beta-2 adrenergic receptor,ADRB2,AGONIST
LEVALBUTEROL TARTRATE,4,Small molecule,1,,Beta-2 adrenergic receptor,ADRB2,AGONIST
LEVALLORPHAN TARTRATE,4,Small molecule,1,,Kappa-type opioid receptor,OPRK1,PARTIAL AGONIST
LEVALLORPHAN TARTRATE,4,Small molecule,1,,Mu-type opioid receptor,OPRM1,ANTAGONIST
LEVAMISOLE HYDROCHLORIDE,4,Small molecule,1,,Nicotinic acetylcholine receptor alpha subunit,,AGONIST
LEVAMLODIPINE MALEATE,4,Small molecule,1,,Voltage-gated L-type calcium channel,CACNA1S,BLOCKER
LEVETIRACETAM,4,Small molecule,1,,Synaptic vesicle glycoprotein 2A,SV2A,MODULATOR
LEVETIRACETAM,4,Small molecule,1,,Voltage-dependent N-type calcium channel subunit alpha-1B,CACNA1B,BLOCKER
LEVOBETAXOLOL HYDROCHLORIDE,4,Small molecule,1,,Beta-1 adrenergic receptor,ADRB1,ANTAGONIST
LEVOBUNOLOL HYDROCHLORIDE,4,Small molecule,1,,Beta-1 adrenergic receptor,ADRB1,ANTAGONIST
LEVOBUNOLOL HYDROCHLORIDE,4,Small molecule,1,,Beta-2 adrenergic receptor,ADRB2,ANTAGONIST
LEVOBUPIVACAINE HYDROCHLORIDE,4,Small molecule,1,,Sodium channel protein type 4 subunit alpha,SCN4A,BLOCKER
LEVOCABASTINE HYDROCHLORIDE,4,Small molecule,1,,Histamine H1 receptor,HRH1,ANTAGONIST
LEVOCETIRIZINE DIHYDROCHLORIDE,4,Small molecule,1,,Histamine H1 receptor,HRH1,ANTAGONIST
LEVODOPA,4,Small molecule,1,,D(3) dopamine receptor,DRD3,AGONIST
LEVOFLOXACIN,4,Small molecule,1,,DNA gyrase,gyrB,INHIBITOR
LEVOFLOXACIN,4,Small molecule,1,,Topoisomerase IV,parE,INHIBITOR
LEVOKETOCONAZOLE,4,Small molecule,1,,"Cholesterol side-chain cleavage enzyme, mitochondrial",CYP11A1,INHIBITOR
LEVOKETOCONAZOLE,4,Small molecule,1,,"Cytochrome P450 11B1, mitochondrial",CYP11B1,INHIBITOR
LEVOKETOCONAZOLE,4,Small molecule,1,,"Cytochrome P450 11B2, mitochondrial",CYP11B2,INHIBITOR
LEVOKETOCONAZOLE,4,Small molecule,1,,"Steroid 17-alpha-hydroxylase/17,20 lyase",CYP17A1,INHIBITOR
LEVOMEPROMAZINE,4,Small molecule,1,,D2-like dopamine receptor,DRD4,ANTAGONIST
LEVOMETHADYL ACETATE,4,Small molecule,1,,Mu-type opioid receptor,OPRM1,AGONIST
LEVOMETHADYL ACETATE HYDROCHLORIDE,4,Small molecule,1,,Mu-type opioid receptor,OPRM1,AGONIST
LEVOMILNACIPRAN HYDROCHLORIDE,4,Small molecule,1,,Sodium-dependent noradrenaline transporter,SLC6A2,INHIBITOR
LEVOMILNACIPRAN HYDROCHLORIDE,4,Small molecule,1,,Sodium-dependent serotonin transporter,SLC6A4,INHIBITOR
LEVONORDEFRIN,4,Small molecule,1,,Adrenergic receptor alpha-2,ADRA2C,AGONIST
LEVONORGESTREL,4,Small molecule,1,,Progesterone receptor,PGR,AGONIST
LEVORPHANOL TARTRATE,4,Small molecule,1,,Mu-type opioid receptor,OPRM1,AGONIST
LEVOTHYROXINE SODIUM,4,Small molecule,1,,Thyroid hormone receptor,THRB,AGONIST
LIDOCAINE,4,Small molecule,1,,Sodium channel alpha subunit,SCN9A,BLOCKER
LIDOCAINE HYDROCHLORIDE,4,Small molecule,1,,Sodium channel alpha subunit,SCN9A,BLOCKER
LIFITEGRAST,4,Small molecule,1,,Integrin alpha-L/beta-2 (LFA-1),ITGB2,ANTAGONIST
LINAGLIPTIN,4,Small molecule,1,,Dipeptidyl peptidase 4,DPP4,INHIBITOR
LINCOMYCIN,4,Small molecule,1,,Bacterial 70S ribosome,ykgO,INHIBITOR
LINCOMYCIN HYDROCHLORIDE,4,Small molecule,1,,70S ribosome,rpsU,INHIBITOR
LINDANE,4,Small molecule,1,,GABA-A receptor,Rdl3,NEGATIVE ALLOSTERIC MODULATOR
LINEZOLID,4,Small molecule,1,,Bacterial 70S ribosome,ykgO,INHIBITOR
LINZAGOLIX,4,Small molecule,1,,Gonadotropin-releasing hormone receptor,GNRHR,ANTAGONIST
LINZAGOLIX CHOLINE,4,Small molecule,1,,Gonadotropin-releasing hormone receptor,GNRHR,ANTAGONIST
LIOTHYRONINE,4,Small molecule,1,,Thyroid hormone receptor,THRB,AGONIST
LIOTHYRONINE SODIUM,4,Small molecule,1,,Thyroid hormone receptor,THRB,AGONIST
LISDEXAMFETAMINE DIMESYLATE,4,Small molecule,1,,Sodium-dependent dopamine transporter,SLC6A3,RELEASING AGENT
LISDEXAMFETAMINE DIMESYLATE,4,Small molecule,1,,Sodium-dependent noradrenaline transporter,SLC6A2,RELEASING AGENT
LISDEXAMFETAMINE DIMESYLATE,4,Small molecule,1,,Synaptic vesicular amine transporter,SLC18A2,INHIBITOR
LISINOPRIL,4,Small molecule,1,,Angiotensin-converting enzyme,ACE,INHIBITOR
LITHIUM CARBONATE,4,Small molecule,1,,Glycogen synthase kinase-3,GSK3B,INHIBITOR
LITHIUM CARBONATE,4,Small molecule,1,,Inositol monophosphatase 1,IMPA1,INHIBITOR
LITHIUM CITRATE,4,Small molecule,1,,Glycogen synthase kinase-3,GSK3B,INHIBITOR
LITHIUM CITRATE,4,Small molecule,1,,Inositol monophosphatase 1,IMPA1,INHIBITOR
LOFEXIDINE HYDROCHLORIDE,4,Small molecule,1,,Adrenergic receptor alpha-2,ADRA2C,AGONIST
LOMEFLOXACIN HYDROCHLORIDE,4,Small molecule,1,,Bacterial DNA gyrase,gyrB,INHIBITOR
LOMITAPIDE MESYLATE,4,Small molecule,1,,Microsomal triglyceride transfer protein,P4HB,INHIBITOR
LOMUSTINE,4,Small molecule,1,,DNA,,INHIBITOR
LONAFARNIB,4,Small molecule,1,,Protein farnesyltransferase,FNTB,INHIBITOR
LOPERAMIDE HYDROCHLORIDE,4,Small molecule,1,,Mu-type opioid receptor,OPRM1,AGONIST
LOPINAVIR,4,Small molecule,1,,Human immunodeficiency virus type 1 protease,pol,INHIBITOR
LORACARBEF,4,Small molecule,1,,Bacterial penicillin-binding protein,mrdA,INHIBITOR
LORATADINE,4,Small molecule,1,,Histamine H1 receptor,HRH1,ANTAGONIST
LORAZEPAM,4,Small molecule,1,,GABA-A receptor; anion channel,GABRQ,POSITIVE ALLOSTERIC MODULATOR
LORCASERIN HYDROCHLORIDE,4,Small molecule,1,,5-hydroxytryptamine receptor 2C,HTR2C,AGONIST
LORLATINIB,4,Small molecule,1,,ALK tyrosine kinase receptor,ALK,INHIBITOR
LORLATINIB,4,Small molecule,1,,EML4-ALK,EML4,INHIBITOR
LORNOXICAM,3,Small molecule,1,,Cyclooxygenase,PTGS2,INHIBITOR
LOSARTAN POTASSIUM,4,Small molecule,1,,Type-1 angiotensin II receptor,AGTR1,ANTAGONIST
LOTEPREDNOL ETABONATE,4,Small molecule,1,,Glucocorticoid receptor,NR3C1,AGONIST
LOVASTATIN,4,Small molecule,1,,3-hydroxy-3-methylglutaryl-coenzyme A reductase,HMGCR,INHIBITOR
LOXAPINE,4,Small molecule,1,,5-hydroxytryptamine receptor 2A,HTR2A,ANTAGONIST
LOXAPINE,4,Small molecule,1,,5-hydroxytryptamine receptor 2C,HTR2C,ANTAGONIST
LOXAPINE,4,Small molecule,1,,D2-like dopamine receptor,DRD4,ANTAGONIST
LOXAPINE HYDROCHLORIDE,4,Small molecule,1,,5-hydroxytryptamine receptor 2A,HTR2A,ANTAGONIST
LOXAPINE HYDROCHLORIDE,4,Small molecule,1,,5-hydroxytryptamine receptor 2C,HTR2C,ANTAGONIST
LOXAPINE HYDROCHLORIDE,4,Small molecule,1,,D2-like dopamine receptor,DRD4,ANTAGONIST
LOXAPINE SUCCINATE,4,Small molecule,1,,5-hydroxytryptamine receptor 2A,HTR2A,ANTAGONIST
LOXAPINE SUCCINATE,4,Small molecule,1,,5-hydroxytryptamine receptor 2C,HTR2C,ANTAGONIST
LOXAPINE SUCCINATE,4,Small molecule,1,,D2-like dopamine receptor,DRD4,ANTAGONIST
LUBIPROSTONE,4,Small molecule,1,,Chloride channel protein 2,CLCN2,OPENER
LULICONAZOLE,4,Small molecule,1,,Lanosterol 14-alpha demethylase,ERG11,INHIBITOR
LUMACAFTOR,4,Small molecule,1,,Cystic fibrosis transmembrane conductance regulator,CFTR,STABILISER
LUMATEPERONE,4,Small molecule,1,,5-hydroxytryptamine receptor 2A,HTR2A,ANTAGONIST
LUMATEPERONE,4,Small molecule,1,,D(2) dopamine receptor,DRD2,ANTAGONIST
LUMATEPERONE,4,Small molecule,1,,Sodium-dependent serotonin transporter,SLC6A4,INHIBITOR
LUMEFANTRINE,4,Small molecule,1,,Ferriprotoporphyrin IX,,INHIBITOR
LUMIRACOXIB,4,Small molecule,1,,Prostaglandin G/H synthase 2,PTGS2,INHIBITOR
LURASIDONE HYDROCHLORIDE,4,Small molecule,1,,5-hydroxytryptamine receptor 2A,HTR2A,ANTAGONIST
LURASIDONE HYDROCHLORIDE,4,Small molecule,1,,D(2) dopamine receptor,DRD2,ANTAGONIST
LURBINECTEDIN,4,Small molecule,1,,DNA,,NEGATIVE MODULATOR
LUSUTROMBOPAG,4,Small molecule,1,,Thrombopoietin receptor,MPL,AGONIST
MACIMORELIN,4,Small molecule,1,,Growth hormone secretagogue receptor type 1,GHSR,AGONIST
MACITENTAN,4,Small molecule,1,,"Endothelin receptor, ET-A/ET-B",EDNRB,ANTAGONIST
MAFENIDE ACETATE,4,Small molecule,1,,Dihydropteroate synthase,folP,INHIBITOR
MALATHION,4,Small molecule,1,,Acetylcholinesterase,Ace1,INHIBITOR
MAPROTILINE HYDROCHLORIDE,4,Small molecule,1,,Sodium-dependent noradrenaline transporter,SLC6A2,INHIBITOR
MARALIXIBAT,4,Small molecule,1,,Ileal sodium/bile acid cotransporter,SLC10A2,INHIBITOR
MARALIXIBAT CHLORIDE,4,Small molecule,1,,Ileal sodium/bile acid cotransporter,SLC10A2,INHIBITOR
MARAVIROC,4,Small molecule,1,,C-C chemokine receptor type 5,CCR5,ANTAGONIST
MARIBAVIR,4,Small molecule,1,,Serine/threonine protein kinase UL97,UL97,INHIBITOR
MARIBAVIR,4,Small molecule,1,,Serine/threonine-protein kinase BGLF4,,INHIBITOR
MASITINIB,3,Small molecule,1,,Fibroblast growth factor receptor 3,FGFR3,INHIBITOR
MASITINIB,3,Small molecule,1,,Mast/stem cell growth factor receptor Kit,KIT,INHIBITOR
MASITINIB,3,Small molecule,1,,Platelet-derived growth factor receptor,PDGFRB,INHIBITOR
MASOPROCOL,4,Small molecule,1,,Insulin-like growth factor 1 receptor,IGF1R,INHIBITOR
MASOPROCOL,4,Small molecule,1,,Receptor tyrosine-protein kinase erbB-2,ERBB2,INHIBITOR
MAVACAMTEN,4,Small molecule,1,,Cardiac myosin,MYL7,INHIBITOR
MAVORIXAFOR,4,Small molecule,1,,C-X-C chemokine receptor type 4,CXCR4,ANTAGONIST
MAZINDOL,4,Small molecule,1,,Monoamine transporter,SLC6A4,INHIBITOR
MEBENDAZOLE,4,Small molecule,1,,Tubulin,,INHIBITOR
MECAMYLAMINE HYDROCHLORIDE,4,Small molecule,1,,Neuronal acetylcholine receptor; alpha3/beta4,CHRNB4,NEGATIVE ALLOSTERIC MODULATOR
MECHLORETHAMINE,4,Small molecule,1,,DNA,,INHIBITOR
MECHLORETHAMINE HYDROCHLORIDE,4,Small molecule,1,,DNA,,INHIBITOR
MECLIZINE HYDROCHLORIDE,4,Small molecule,1,,Histamine H1 receptor,HRH1,ANTAGONIST
MECLOCYCLINE SULFOSALICYLATE,4,Small molecule,1,,Bacterial 70S ribosome,ykgO,INHIBITOR
MECLOFENAMATE SODIUM,4,Small molecule,1,,Cyclooxygenase,PTGS2,INHIBITOR
MECLOFENAMATE SODIUM,4,Small molecule,1,,Polyunsaturated fatty acid 5-lipoxygenase,ALOX5,INHIBITOR
MEDROXYPROGESTERONE ACETATE,4,Small molecule,1,,Progesterone receptor,PGR,AGONIST
MEDRYSONE,4,Small molecule,1,,Glucocorticoid receptor,NR3C1,AGONIST
MEFENAMIC ACID,4,Small molecule,1,,Cyclooxygenase,PTGS2,INHIBITOR
MEFLOQUINE HYDROCHLORIDE,4,Small molecule,1,,Ferriprotoporphyrin IX,,INHIBITOR
MEGESTROL ACETATE,4,Small molecule,1,,Progesterone receptor,PGR,AGONIST
MELATONIN,4,Small molecule,1,,Melatonin receptor,MTNR1B,AGONIST
MELOXICAM,4,Small molecule,1,,Prostaglandin G/H synthase 2,PTGS2,INHIBITOR
MELPHALAN,4,Small molecule,1,,DNA,,INHIBITOR
MELPHALAN FLUFENAMIDE HYDROCHLORIDE,4,Small molecule,1,,DNA,,CROSS-LINKING AGENT
MELPHALAN HYDROCHLORIDE,4,Small molecule,1,,DNA,,INHIBITOR
MEMANTINE HYDROCHLORIDE,4,Small molecule,1,,Glutamate [NMDA] receptor,GRIN3B,NEGATIVE ALLOSTERIC MODULATOR
MENTHOL,4,Small molecule,1,,Transient receptor potential cation channel subfamily A member 1,TRPA1,OPENER
MENTHOL,4,Small molecule,1,,Transient receptor potential cation channel subfamily M member 8,TRPM8,OPENER
MEPENZOLATE BROMIDE,4,Small molecule,1,,Muscarinic acetylcholine receptor M1,CHRM1,ANTAGONIST
MEPENZOLATE BROMIDE,4,Small molecule,1,,Muscarinic acetylcholine receptor M3,CHRM3,ANTAGONIST
MEPERIDINE HYDROCHLORIDE,4,Small molecule,1,,Mu-type opioid receptor,OPRM1,AGONIST
MEPHENTERMINE SULFATE,4,Small molecule,1,,Adrenergic receptor,ADRB3,AGONIST
MEPHENYTOIN,4,Small molecule,1,,Sodium channel alpha subunit,SCN9A,BLOCKER
MEPIVACAINE HYDROCHLORIDE,4,Small molecule,1,,Sodium channel alpha subunit,SCN9A,BLOCKER
MEPREDNISONE,4,Small molecule,1,,Glucocorticoid receptor,NR3C1,AGONIST
MEPROBAMATE,4,Small molecule,1,,GABA-A receptor; anion channel,GABRQ,AGONIST
MEPTAZINOL,2,Small molecule,1,,Mu-type opioid receptor,OPRM1,PARTIAL AGONIST
MEQUINOL,4,Small molecule,1,,Tyrosinase,TYR,INHIBITOR
MEQUITAZINE,2,Small molecule,1,,Histamine H1 receptor,HRH1,ANTAGONIST
MERCAPTOPURINE,4,Small molecule,1,,Amidophosphoribosyltransferase,PPAT,INHIBITOR
MERCAPTOPURINE,4,Small molecule,1,,DNA,,INHIBITOR
MERETHOXYLLINE PROCAINE,4,Small molecule,1,,Sodium channel alpha subunit,SCN9A,BLOCKER
MEROPENEM,4,Small molecule,1,,Bacterial penicillin-binding protein,mrdA,INHIBITOR
MESALAMINE,4,Small molecule,1,,Cyclooxygenase,PTGS2,INHIBITOR
MESALAMINE,4,Small molecule,1,,Peroxisome proliferator-activated receptor gamma,PPARG,AGONIST
MESALAMINE,4,Small molecule,1,,Polyunsaturated fatty acid 5-lipoxygenase,ALOX5,INHIBITOR
MESORIDAZINE BESYLATE,4,Small molecule,1,,5-hydroxytryptamine receptor 2A,HTR2A,ANTAGONIST
MESORIDAZINE BESYLATE,4,Small molecule,1,,D(2) dopamine receptor,DRD2,ANTAGONIST
MESTRANOL,4,Small molecule,1,,Estrogen receptor,ESR1,AGONIST
METAPROTERENOL SULFATE,4,Small molecule,1,,Beta-2 adrenergic receptor,ADRB2,AGONIST
METARAMINOL BITARTRATE,4,Small molecule,1,,Adrenergic receptor alpha-1,ADRA1D,AGONIST
METFORMIN HYDROCHLORIDE,4,Small molecule,1,,"Glycerol-3-phosphate dehydrogenase, mitochondrial",GPD2,INHIBITOR
METFORMIN HYDROCHLORIDE,4,Small molecule,1,,Mitochondrial complex I (NADH dehydrogenase),NDUFV3,INHIBITOR
METHACHOLINE CHLORIDE,4,Small molecule,1,,Muscarinic acetylcholine receptor M3,CHRM3,AGONIST
METHACYCLINE HYDROCHLORIDE,4,Small molecule,1,,Bacterial 70S ribosome,ykgO,INHIBITOR
METHADONE HYDROCHLORIDE,4,Small molecule,1,,Mu-type opioid receptor,OPRM1,AGONIST
METHAMPHETAMINE HYDROCHLORIDE,4,Small molecule,1,,Monoamine transporter,SLC6A4,INHIBITOR
METHANDROSTENOLONE,4,Small molecule,1,,Androgen receptor,AR,AGONIST
METHANTHELINE BROMIDE,4,Small molecule,1,,Histamine H2 receptor,HRH2,ANTAGONIST
METHARBITAL,4,Small molecule,1,,GABA-A receptor; anion channel,GABRQ,POSITIVE ALLOSTERIC MODULATOR
METHAZOLAMIDE,4,Small molecule,1,,Carbonic anhydrase 1,CA1,INHIBITOR
METHAZOLAMIDE,4,Small molecule,1,,Carbonic anhydrase 2,CA2,INHIBITOR
METHAZOLAMIDE,4,Small molecule,1,,Carbonic anhydrase 4,CA4,INHIBITOR
METHAZOLAMIDE,4,Small molecule,1,,Carbonic anhydrase 7,CA7,INHIBITOR
METHDILAZINE,4,Small molecule,1,,Histamine H1 receptor,HRH1,ANTAGONIST
METHDILAZINE HYDROCHLORIDE,4,Small molecule,1,,Histamine H1 receptor,HRH1,ANTAGONIST
METHENAMINE HIPPURATE,4,Small molecule,1,,DNA,,INHIBITOR
METHICILLIN SODIUM,4,Small molecule,1,,Penicillin-binding protein,pbpF,INHIBITOR
METHIMAZOLE,4,Small molecule,1,,Thyroid peroxidase,TPO,INHIBITOR
METHIXENE HYDROCHLORIDE,4,Small molecule,1,,5-hydroxytryptamine receptor 2C,HTR2C,ANTAGONIST
METHIXENE HYDROCHLORIDE,4,Small molecule,1,,Muscarinic acetylcholine receptor M1,CHRM1,ANTAGONIST
METHOCARBAMOL,4,Small molecule,1,,Carbonic anhydrase 1,CA1,INHIBITOR
METHOHEXITAL SODIUM,4,Small molecule,1,,GABA-A receptor; anion channel,GABRQ,POSITIVE ALLOSTERIC MODULATOR
METHOTREXATE,4,Small molecule,1,,Dihydrofolate reductase,DHFR,INHIBITOR
METHOTREXATE SODIUM,4,Small molecule,1,,Dihydrofolate reductase,DHFR,INHIBITOR
METHOXAMINE HYDROCHLORIDE,4,Small molecule,1,,Adrenergic receptor alpha-1,ADRA1D,AGONIST
METHOXSALEN,4,Small molecule,1,,DNA,,INHIBITOR
METHOXYFLURANE,4,Small molecule,1,,GABA-A receptor; anion channel,GABRQ,POSITIVE MODULATOR
METHOXYFLURANE,4,Small molecule,1,,Glycine receptor (alpha-1/beta),GLRB,AGONIST
METHSCOPOLAMINE BROMIDE,4,Small molecule,1,,Muscarinic acetylcholine receptor M1,CHRM1,ANTAGONIST
METHSCOPOLAMINE BROMIDE,4,Small molecule,1,,Muscarinic acetylcholine receptor M3,CHRM3,ANTAGONIST
METHSUXIMIDE,4,Small molecule,1,,Voltage-gated T-type calcium channel,CACNA1I,BLOCKER
METHYCLOTHIAZIDE,4,Small molecule,1,,Solute carrier family 12 member 3,SLC12A3,INHIBITOR
METHYL AMINOLEVULINATE HYDROCHLORIDE,4,Small molecule,1,,DNA,,INHIBITOR
METHYLDOPA,4,Small molecule,1,,Adrenergic receptor alpha-2,ADRA2C,AGONIST
METHYLDOPATE HYDROCHLORIDE,4,Small molecule,1,,Adrenergic receptor alpha-2,ADRA2C,AGONIST
METHYLENE BLUE ANHYDROUS,4,Small molecule,1,,Soluble guanylate cyclase,GUCY1B2,INHIBITOR
METHYLERGONOVINE MALEATE,4,Small molecule,1,,5-hydroxytryptamine receptor 2B,HTR2B,PARTIAL AGONIST
METHYLERGONOVINE MALEATE,4,Small molecule,1,,D(1A) dopamine receptor,DRD1,ANTAGONIST
METHYLNALTREXONE BROMIDE,4,Small molecule,1,,Mu-type opioid receptor,OPRM1,ANTAGONIST
METHYLPHENIDATE,4,Small molecule,1,,Sodium-dependent dopamine transporter,SLC6A3,INHIBITOR
METHYLPHENIDATE,4,Small molecule,1,,Sodium-dependent noradrenaline transporter,SLC6A2,INHIBITOR
METHYLPHENIDATE HYDROCHLORIDE,4,Small molecule,1,,Sodium-dependent dopamine transporter,SLC6A3,INHIBITOR
METHYLPHENIDATE HYDROCHLORIDE,4,Small molecule,1,,Sodium-dependent noradrenaline transporter,SLC6A2,INHIBITOR
METHYLPREDNISOLONE,4,Small molecule,1,,Glucocorticoid receptor,NR3C1,AGONIST
METHYLPREDNISOLONE ACETATE,4,Small molecule,1,,Glucocorticoid receptor,NR3C1,AGONIST
METHYLPREDNISOLONE SODIUM SUCCINATE,4,Small molecule,1,,Glucocorticoid receptor,NR3C1,AGONIST
METHYLTESTOSTERONE,4,Small molecule,1,,Androgen receptor,AR,AGONIST
METHYPRYLON,4,Small molecule,1,,GABA-A receptor; anion channel,GABRQ,POSITIVE ALLOSTERIC MODULATOR
METHYSERGIDE MALEATE,4,Small molecule,1,,5-hydroxytryptamine receptor 1A,HTR1A,PARTIAL AGONIST
METHYSERGIDE MALEATE,4,Small molecule,1,,5-hydroxytryptamine receptor 2B,HTR2B,ANTAGONIST
METHYSERGIDE MALEATE,4,Small molecule,1,,5-hydroxytryptamine receptor 2C,HTR2C,ANTAGONIST
METIPRANOLOL HYDROCHLORIDE,4,Small molecule,1,,Beta-1 adrenergic receptor,ADRB1,ANTAGONIST
METIPRANOLOL HYDROCHLORIDE,4,Small molecule,1,,Beta-2 adrenergic receptor,ADRB2,ANTAGONIST
METOCLOPRAMIDE HYDROCHLORIDE,4,Small molecule,1,,5-hydroxytryptamine receptor 3A,HTR3A,ANTAGONIST
METOCLOPRAMIDE HYDROCHLORIDE,4,Small molecule,1,,5-hydroxytryptamine receptor 4,HTR4,AGONIST
METOCLOPRAMIDE HYDROCHLORIDE,4,Small molecule,1,,D(2) dopamine receptor,DRD2,ANTAGONIST
METOCURINE IODIDE,4,Small molecule,1,,Muscle-type nicotinic acetylcholine receptor,CHRNG,ANTAGONIST
METOLAZONE,4,Small molecule,1,,Solute carrier family 12 member 3,SLC12A3,INHIBITOR
METOPROLOL FUMARATE,4,Small molecule,1,,Beta-1 adrenergic receptor,ADRB1,ANTAGONIST
METOPROLOL SUCCINATE,4,Small molecule,1,,Beta-1 adrenergic receptor,ADRB1,ANTAGONIST
METOPROLOL TARTRATE,4,Small molecule,1,,Beta-1 adrenergic receptor,ADRB1,ANTAGONIST
METRONIDAZOLE,4,Small molecule,1,,DNA,,INHIBITOR
METRONIDAZOLE HYDROCHLORIDE,4,Small molecule,1,,DNA,,INHIBITOR
METYROSINE,4,Small molecule,1,,Tyrosine 3-monooxygenase,TH,INHIBITOR
MEXILETINE HYDROCHLORIDE,4,Small molecule,1,,Sodium channel alpha subunit,SCN9A,BLOCKER
MEZLOCILLIN SODIUM,4,Small molecule,1,,Bacterial penicillin-binding protein,mrdA,INHIBITOR
MIBEFRADIL DIHYDROCHLORIDE,4,Small molecule,1,,Voltage-gated T-type calcium channel,CACNA1I,BLOCKER
MICAFUNGIN SODIUM,4,Small molecule,1,,"1,3-beta-glucan synthase",GSC1,INHIBITOR
MICONAZOLE,4,Small molecule,1,,Lanosterol 14-alpha demethylase,ERG11,INHIBITOR
MICONAZOLE NITRATE,4,Small molecule,1,,Lanosterol 14-alpha demethylase,ERG11,INHIBITOR
MIDAZOLAM,4,Small molecule,1,,GABA-A receptor; anion channel,GABRQ,POSITIVE ALLOSTERIC MODULATOR
MIDAZOLAM HYDROCHLORIDE,4,Small molecule,1,,GABA-A receptor; anion channel,GABRQ,POSITIVE ALLOSTERIC MODULATOR
MIDODRINE HYDROCHLORIDE,4,Small molecule,1,,Adrenergic receptor alpha-1,ADRA1D,AGONIST
MIDOSTAURIN,4,Small molecule,1,,Mast/stem cell growth factor receptor Kit,KIT,INHIBITOR
MIDOSTAURIN,4,Small molecule,1,,Platelet-derived growth factor receptor,PDGFRB,INHIBITOR
MIDOSTAURIN,4,Small molecule,1,,Protein kinase C (PKC),PRKD3,INHIBITOR
MIDOSTAURIN,4,Small molecule,1,,Receptor-type tyrosine-protein kinase FLT3,FLT3,INHIBITOR
MIDOSTAURIN,4,Small molecule,1,,Vascular endothelial growth factor receptor 2,KDR,INHIBITOR
MIFAMURTIDE,4,Small molecule,1,,Nucleotide-binding oligomerization domain-containing protein 2,NOD2,OTHER
MIFEPRISTONE,4,Small molecule,1,,Glucocorticoid receptor,NR3C1,ANTAGONIST
MIFEPRISTONE,4,Small molecule,1,,Progesterone receptor,PGR,ANTAGONIST
MIGALASTAT,4,Small molecule,1,,Alpha-galactosidase A,GLA,STABILISER
MIGALASTAT HYDROCHLORIDE,4,Small molecule,1,,Alpha-galactosidase A,GLA,STABILISER
MIGLITOL,4,Small molecule,1,,Lysosomal alpha-glucosidase,GAA,INHIBITOR
MIGLITOL,4,Small molecule,1,,Maltase-glucoamylase,MGAM,INHIBITOR
MIGLUSTAT,4,Small molecule,1,,Ceramide glucosyltransferase,UGCG,INHIBITOR
MILNACIPRAN HYDROCHLORIDE,4,Small molecule,1,,Sodium-dependent noradrenaline transporter,SLC6A2,INHIBITOR
MILNACIPRAN HYDROCHLORIDE,4,Small molecule,1,,Sodium-dependent serotonin transporter,SLC6A4,INHIBITOR
MILRINONE LACTATE,4,Small molecule,1,,"cGMP-inhibited 3',5'-cyclic phosphodiesterase 3A",PDE3A,INHIBITOR
MINAPRINE,4,Small molecule,1,,Acetylcholinesterase,ACHE,INHIBITOR
MINAPRINE,4,Small molecule,1,,Amine oxidase [flavin-containing] A,MAOA,INHIBITOR
MINAPRINE,4,Small molecule,1,,Dopamine D1 and D2 receptor,DRD2,AGONIST
MINAPRINE,4,Small molecule,1,,Muscarinic acetylcholine receptor M1,CHRM1,AGONIST
MINAPRINE,4,Small molecule,1,,Serotonin 2 (5-HT2) receptor,HTR2C,ANTAGONIST
MINAPRINE HYDROCHLORIDE,4,Small molecule,1,,Acetylcholinesterase,ACHE,INHIBITOR
MINAPRINE HYDROCHLORIDE,4,Small molecule,1,,Amine oxidase [flavin-containing] A,MAOA,INHIBITOR
MINAPRINE HYDROCHLORIDE,4,Small molecule,1,,Dopamine D1 and D2 receptor,DRD2,AGONIST
MINAPRINE HYDROCHLORIDE,4,Small molecule,1,,Muscarinic acetylcholine receptor M1,CHRM1,AGONIST
MINAPRINE HYDROCHLORIDE,4,Small molecule,1,,Serotonin 2 (5-HT2) receptor,HTR2C,ANTAGONIST
MINOCYCLINE HYDROCHLORIDE,4,Small molecule,1,,Bacterial 70S ribosome,ykgO,INHIBITOR
MINOXIDIL,4,Small molecule,1,,"Sulfonylurea receptor 2, Kir6.2",KCNJ11,OPENER
MIRABEGRON,4,Small molecule,1,,Beta-3 adrenergic receptor,ADRB3,AGONIST
MIRTAZAPINE,4,Small molecule,1,,5-hydroxytryptamine receptor 2A,HTR2A,ANTAGONIST
MIRTAZAPINE,4,Small molecule,1,,5-hydroxytryptamine receptor 2C,HTR2C,ANTAGONIST
MIRTAZAPINE,4,Small molecule,1,,Adrenergic receptor alpha-2,ADRA2C,ANTAGONIST
MISOPROSTOL,4,Small molecule,1,,Prostaglandin E2 receptor EP3 subtype,PTGER3,AGONIST
MITAPIVAT,4,Small molecule,1,,Pyruvate kinase PKLR,PKLR,ACTIVATOR
MITAPIVAT SULFATE,4,Small molecule,1,,Pyruvate kinase PKLR,PKLR,ACTIVATOR
MITOBRONITOL,2,Small molecule,1,,DNA,,DISRUPTING AGENT
MITOMYCIN,4,Small molecule,1,,DNA,,INHIBITOR
